"popsong_lyrics","singer","element_id"
"(Verse2)
Looking from the outside, you're always looking in
You think you fix the problem, until it comes right back again
And life seems like a trap, you're trying to get out
You're searching for your cheese because you feel like Mighty Mouse
You're damned if you don't - you're damned if you do
You've seen all the signs, but you haven't got a clue","Pink",49
"(Chorus)
Here we go
Riding on a whim
Connecting with the rendezvous
Here we go
We're jumping off the wings
We're going round in circles
- it's a Catch22
Yes we're flying round in circles
- it's a Catch22
Yes we're rocking round in circles
- it's a Catch22","Pink",50
"You are in, you are in, you are in, you are in
You are in for the ride of your life","Pink",51
"(Chorus)
Here we go
Riding on a whim
Connecting with the rendezvous
Here we go
We're jumping off the wings
We're going round in circles
- it's a Catch22
Yes we're flying round in circles
- it's a Catch22","Pink",52
"(Pink speaking)
We realize you have many choices and behalf of all of us at Pink
Airlines, we'd like to thankyou for flying with us.
We hope you have a wonderful stay wherever you're destination
may be.
And remember, be careful retrieving your items, as during the flight
they may have shifted, and might fall on you or your neighbours head,
and knock you the fuck out","Pink",53
"(Chorus)
Here we go
Riding on a whim
Connecting with the rendezvous
Here we go
We're jumping off the wings
We're going round in circles
- it's a Catch22","Pink",54
"Here we go
Riding on a whim
Connecting with the rendezvous
Here we go
We're jumping off the wings
We're going round in circles
- it's a Catch22
Yes we're flying round in circles
- it's a Catch22","Pink",55
"I’m on the rebound
I get it when I want to
I’m on the way down
I’m getting fixed without you
You gave me a band aid
I put it on my heartbreak
And all you got is pictures in your hand","Pink",56
"Don't you wish you could hold
The angel in the centerfold
The fantasy you couldn’t control
I walked away from you (I walked away from you)
Don't you wish you could hold?
The pretty little paper doll
The one you couldn’t quite control
I walked away from you","Pink",57
"Flip to me I’m the centerfold
I’m gonna charm you all night (all night)
Stick to me I’m the centerfold
We’re gonna go on, hold tight","Pink",58
"I’m gonna hate you
‘Til I forget you
So here’s a keep sake
I left it in the bathroom
Just a little something
Something to remind you
I’m sure you’ll never get this close again","Pink",59
"Don't you wish you could hold
The angel in the centerfold
The fantasy you couldn’t control
I walked away from you (I walked away from you)
Don't you wish you could hold
The pretty little paper doll
The one you couldn’t quite control
I walked away from you (I walked away from you)","Pink",60
"Flip to me I’m the centerfold
I’m gonna charm you all night (all night)
Stick to me I’m the centerfold
We’re gonna go on, hold tight (hold tight)
Flip to me I’m the centerfold
I’m gonna charm you all night (all night)
Stick to me I’m the centerfold
We’re gonna go on, hold tight","Pink",61
"Now its him when it coulda been you
Tell me why it’s him when it shoulda been you
Its crazy how this makes you wanna change
Here’s an image you won’t forget
All your life I’ll tease, I’ll torment
I’ll be gone as soon as you turn the page","Pink",62
"Don't you wish you could hold
The angel in the centerfold
The fantasy you couldn’t control
I walked away from you (yeah)
Don't you wish you could hold
The pretty little paper doll
The one you couldn’t quite control
I walked away from you (oh, walked away from you)","Pink",63
"Flip to me I’m the centerfold
I’m gonna charm you all night (all night)
Stick to me I’m the centerfold
We’re gonna go on, hold tight","Pink",64
"Conversations with my thirteen year old self
Conversations with my thirteen year old self","Pink",65
"You're angry
I know this
The world couldn't care less
You're lonely
I feel this
And you wish you were the best
No teachers
Or guidance
And you always walk alone
You're crying
At night when
Nobody else is home","Pink",66
"Come over here and let me hold your hand and hug you darling
I promise you that it won't always feel this bad
There are so many things I want to say to you
You're the girl I used to be
You little heartbroken thirteen year old me","Pink",67
"You're laughing
But you're hiding
God I know that trick too well
You forget
That I've been you
And now I'm just the shell
I promise
I love you and
Everything will work out fine
Don't try to
Grow up yet
Oh just give it some time","Pink",68
"The pain you feel is real you're not asleep but it's a nightmare
But you can wake up anytime
Oh don't lose your passion or the fighter that's inside of you
You're the girl I used to be
The pissed off complicated thirteen year old me","Pink",69
"Conversations with my thirteen year old self
Conversations with my thirteen year old self","Pink",70
"Until we meet again
Oh I wish you well oh
I wish you well
Little girl
Until we meet again
Oh
I wish you well
Little girl
I wish you well
Until we meet again
My little thirteen year old me","Pink",71
"I wish i could live my life on an aeroplane
I'd have free drinks all day
And my stewardess would say","Pink",72
"If you're under pressure
There's a mask above your head
Make sure yours is secure
Before you try to help your friend","Pink",73
"Look out the window and see the sunshine
No more construction, destruction & dying
I could float through the clouds with my cell phone turned off
as high as i can go and i never belong","Pink",74
"CHORUS:
Recline my seat back
Kick off my shoes
Lay down my worries
I never crash & burn
I'll never crash & burn","Pink",75
"If i lived my life on an aeroplane
I'd pick up all my friends and we'd drift away
Citizens of nowhere with no red & blue divide
We'd leave the world where greed and propaganda multiplies","Pink",76
"Everywhere is love
Everyone is love
Everwhere is love","Pink",77
"CHORUS:
Recline my seat back
Kick off my shoes
Lay down my worries
I never crash & burn
I'll never crash & burn","Pink",78
"No complications
No starring roles
We'd all have plenty
We'll never crash and burn
We'll never crash and burn","Pink",79
"Everyone is love
Everywhere is love","Pink",80
"RAPS","Pink",81
"CHORUS:
Recline my seat back
Kick off my shoes
Lay down my worries
I never crash & burn
I'll never crash & burn","Pink",82
"Dear? dear diary? I want to tell my secrets
Cuz you're the only one that I know who'll keep
them
Dear? dear diary? I want to tell my secrets
I know you'll keep them? and this is what I've
done
I've been a bad? bad girl for so long
I don't know how to change what went wrong
Daddy's little girl when he went away
What did it teach me That love leaves","Pink",83
"Dear? dear diary? I want to tell my secrets
Cuz you're the only one that I know who'll keep
them
Dear? dear diary? I want to tell my secrets
I know you'll keep them? and this is what I've
done","Pink",84
"I've been down every road you could go
I made some bad choices as you know
Seems I have the whole world cradled in my hands
But its just like me not to understand","Pink",85
"Dear? dear diary? I want to tell my secrets
Cuz you're the only one that I know who'll keep
them
Dear? dear diary? I want to tell my secrets
I've been a bad? bad girl","Pink",86
"I learned my lessons
I turned myself around
I've got a guardian angel tattooed on my shoulder","Pink",87
"She's been watching over me","Pink",88
"Dear? dear diary? I want to tell my secrets
Cuz you're the only one that I know who'll keep
them
Dear? dear diary? I want to tell my secrets
I've been a bad? bad girl","Pink",89
